

32-bit |  Processing modes referring to the size of each instruction processed by the CPU. 32-bit CPUs replaced earlier 16-bit CPUs and were used through the 1990s to the present day, though most PC and laptop CPUs now work in 64-bit mode.

 64-bit  | Processing modes referring to the size of each instruction processed by the CPU.  The main 64-bit platform is called AMD64 or EM64T (by Intel). Software can be compiled as 32-bit or 64-bit. 64-bit CPUs can run most 32-bit software, but a 32-bit CPU cannot execute 64-bit software. 

3-D Printer | Hardware device capable of small-scale manufacturing. Most 3-D printers use either a variety of filament (typically plastic) or resin media with different properties.

802.11 standards | Specifications developed by IEEE for wireless networking over microwave radio transmission in the 2.4 GHz, 5 GHz, and 6 GHz frequency bands. The Wi-Fi standards brand has six main iterations: a, b, g, Wi-Fi 4 (n), Wi-Fi 5 (ac), and Wi-Fi 6 (ax). These specify different modulation techniques, supported distances, and data rates, plus special features, such as channel bonding, MIMO, and MU-MIMO.

802.11a | TODO
802.11b | TODO
802.11g | TODO
802.11n | TODO
802.11ac | TODO
802.11ax | TODO

802.3 Ethernet | Standards developed as the IEEE 802.3 series describing media types, access methods, data rates, and distance limitations at OSI layers 1 and 2 using xBASE-y designations.

AP | access point (AP) Device that provides a connection between wireless devices and can connect to wired networks, implementing an infrastructure mode WLAN.

adapter cable | Peripheral cable converting between connector form factors or between signaling types, such as DisplayPort to HDMI.

AMD | Advanced Micro Devices (AMD) CPU manufacturer providing healthy competition for Intel. AMD chips such as the K6 or Athlon 64 and latterly the Ryzen have been very popular with computer manufacturers and have often out-performed their Intel equivalents.

ARM | Advanced RISC Machines (ARM) Designer of CPU and chipset architectures widely used in mobile devices. RISC stands for reduced instruction set computing. RISC microarchitectures use a small number of simple instructions that can be performed as a single operation. This contrasts with complex (CISC) microarchitectures, which use a large set of more powerful instructions that can take more than one operation to complete.

ATX | advanced technology extended (ATX) Standard PC case, motherboard, and power supply specification. Mini-, Micro-, and Flex-ATX specify smaller board designs.

airplane mode | A toggle found on mobile devices enabling the user to disable and enable wireless functionality quickly.

app store | Feature of mobile computing that provides a managed interface for installing third-party software apps.

API | application programming interface (API)  Library of programming utilities used, for example, to enable software developers to access functions of the TCP/IP network stack under a particular operating system.

application virtualization | Software delivery model where the code runs on a server and is streamed to a client.

AAA |authentication, authorization, and accounting (AAA) Security concept where a centralized platform verifies subject identification, ensures the subject is assigned relevant permissions, and then logs these actions to create an audit trail.

ADF | automatic document feeder (ADF) Device that feeds media automatically into a scanner or printer.

APIPA | automatic private IP addressing (APIPA) Mechanism for Windows hosts configured to obtain an address automatically that cannot contact a DHCP server to revert to using an address from the range 169.254.x.y. This is also called a link-local address.

backlight | LED or fluorescent lamp that illuminates the image on a flat-panel (TFT) screen. If the backlight component fails, only a dim image will be shown.

BIOS basic input/output system (BIOS) Legacy 32-bit firmware type that initializes hardware and provides a system setup interface for configuring boot devices and other hardware settings.

BSSID | basic service set ID (BSSID) MAC address of an access point supporting a basic service area.

battery | Power source for a portable computer, typically a rechargeable Lithium-ion (Li-ion) type. A small coin cell battery is also used in a computer to power CMOS RAM.

beep codes | During POST, errors in hardware or the system firmware data can be brought to the attention of the user by beep noises. Each beep code is able to draw attention to a particular fault with the hardware. It was once customary for a computer to beep once to indicate that POST has been successful, though most modern computers boot silently.

binary | Notational system with two values per digit (zero and one). Computers process code in binary because the transistors in its CPU and memory components also have two states (off and on).

biometric authentication | Authentication mechanism that allows a user to perform a biometric scan to operate an entry or access system. Physical characteristics stored as a digital data template can be used to authenticate a user. Typical features used include facial pattern, iris, retina, fingerprint pattern, and signature recognition.

BSOD | blue screen of death (BSOD)  Microsoft status screen that indicates an error from which the system cannot recover (also called a stop error). Blue screens are usually caused by bad driver software or hardware faults (memory or disk). Other operating systems use similar crash indicators, such as Apple's pinwheel and Linux's kernel panic message.

Bluetooth | Short-range, wireless radio-network-transmission medium normally used to connect two personal devices, such as a mobile phone and a wireless headset.

Blu-ray Disc | Latest generation of optical drive technology, with disc capacity of 25 GB per layer. Transfer rates are measured in multiples of 36 MB/s.

boot option | Disk or network adapter device from which an operating system can be loaded.

boot password | Feature of system setup that prevents the computer from booting until the correct user password is supplied. A supervisor password restricts access to the system setup program.

bus | Connections between components on the motherboard and peripheral devices providing data pathways, memory addressing, power supply, timing, and connector/port form factor.

cable modem | Cable-Internet-access digital modem that uses a coaxial connection to the service provider's fiber-optic core network.

cable stripper | Tool for stripping cable jacket or wire insulation.

cable tester | Two-part tool used to test successful termination of copper cable by attaching to each end of a cable and energizing each wire conductor in turn with an LED to indicate an end-to-end connection.

capture card | Adapter card designed to record video from a source such as a TV tuner or games console.

carriage belt | Inkjet print device component that moves the print head over the paper.

cellular radio | Standards for implementing data access over cellular networks are implemented as successive generations. For 2G (up to about 48 Kb/s) and 3G (up to about 42 Mb/s), there are competing GSM and CDMA provider networks. Standards for 4G (up to about 90 Mb/s) and 5G (up to about 300 Mb/s) are developed under converged LTE standards.

CPU | central processing unit (CPU)  Principal microprocessor in a PC or mobile device responsible for running firmware, operating system, and applications software.

certificate | Issued by a Certificate Authority (CA) as a guarantee that a public key it has issued to an organization to encrypt messages sent to it genuinely belongs to that organization.

CA | certificate authority (CA)  Server that guarantees subject identities by issuing signed digital certificate wrappers for their public keys.

channel | Subdivision of frequency bands used by Wi-Fi products into smaller channels to allow multiple networks to operate at the same location without interfering with one another.

channel bonding | Capability to aggregate one or more adjacent wireless channels to increase bandwidth.

chipset | Processors embedded on a motherboard to support the operation of the CPU and implementing various controllers (for memory, graphics, I/O, and so on).

clock | System clock signal that synchronizes the operation of all of the components within a PC. It also provides the basic timing signal for the processor, bus, and memory. The CPU typically runs at many multiples of the basic clock speed.

cloud computing | Computing architecture where on-demand resources provisioned with the attributes of high availability, scalability, and elasticity are billed to customers on the basis of metered utilization.

cloud service model | Classifying the provision of cloud services and the limit of the cloud service provider's responsibility as software, platform, infrastructure, and so on.

CSP | cloud service provider (CSP)  Organization providing infrastructure, application, and/or storage services via an "as a service" subscription-based, cloud-centric offering.

coaxial cable | Media type using two separate conductors that share a common axis categorized using the Radio Grade (RG) specifications.

CDMA | code division multiple access (CDMA)  Method of multiplexing a communications channel using a code to key the modulation of a particular signal. CDMA is associated with Sprint and Verizon cellular phone networks.

collision domain | Network segment where nodes are attached to the same shared access media, such as a bus network or Ethernet hub.

community cloud | Cloud that is deployed for shared use by cooperating tenants.

CD | Compact Disc (CD)  | Optical storage technology supporting up to 700 MB per disc with recordable and re-writable media also available.

containerization | Type of virtualization applied by a host operating system to provision an isolated execution environment for an application. 

crimper | Tool to join a Registered Jack (RJ) form factor connector to the ends of twisted-pair patch cable.

CMYK | cyan, magenta, yellow, black (CMYK)  Subtractive color model used by print devices. CMYK printing involves use of halftone screens. Four screens (or layers) of dots printed in each of the colors are overlaid. The size and density of the dots on each layer produce different shades of color and is viewed as a continuous tone image.

data cap | Feature of mobile computing that allows use of a network connection to be limited to avoid incurring additional carrier charges.

DLP | data loss (leak) prevention (DLP)  Software solution that detects and prevents sensitive information from being stored on unauthorized systems or transmitted over unauthorized networks.

datacenter | Facility dedicated to the provisioning of reliable power, environmental controls, and network fabric to server computers.

DDR SDRAM (Double Data Rate SDRAM)  Series of high-bandwidth system-memory standards (DDR3/DDR4/DDR5) where data is transferred twice per clock cycle.

dB | decibel (dB)  |Unit for representing the power of network signaling.

dBi | decibels per isotropic (dBi)  Unit for representing the increase in power gained by the directional design of a wireless antenna.

default gateway | IP configuration parameter that identifies the address of a router on the local subnet that the host can use to contact other networks.

DaaS | desktop as a service (DaaS)  Cloud service model that provisions desktop OS and applications software.

digital camera | Version of a 35 mm film camera where the film is replaced by light-sensitive diodes and electronic storage media (typically a flash memory card). The sensitivity of the array determines the maximum resolution of the image, measured in megapixels. Most mobile devices are fitted with embedded cameras that can function as both still and video cameras.

DSL | digital subscriber line (DSL)  Carrier technology to implement broadband Internet access for subscribers by transferring data over voice-grade telephone lines. There are various "flavors" of DSL, notably S(ymmetric)DSL, A(symmetric)DSL, and V(ery HIgh Bit Rate)DSL.

DVI | Digital Video Interface (DVI)  Legacy video interface that supports digital only or digital and analog signaling.

DVD | Digital Video/Versatile Disk (DVD)  Optical storage technology supporting up to 4.7 GB per layer per disc with recordable and re-writable media also available.

digitizer | As part of a touch screen assembly, the digitizer is a touch-sensitive layer placed on top of the display panel. The digitizer converts analog touch and gesture events to digital signals that can be interpreted as different types of input.

direct burial | A type of outside plant (OSP) installation where cable is laid directly into the ground with no protective conduit.

DisplayPort | Digital audio/video interface developed by VESA. DisplayPort supports some cross-compatibility with DVI and HDMI devices.

docking station | Advanced type of port replicator designed to provide additional ports (such as network or USB) and functionality (such as expansion slots and drives) to a portable computer when used at a desk.

DNS | domain name system (DNS)  Service that maps fully qualified domain name labels to IP addresses on most TCP/IP networks, including the Internet.

DMARC | Domain-Based Message Authentication, Reporting, and Conformance (DMARC)  Framework for ensuring proper application of SPF and DKIM utilizing a policy published as a DNS record.

DKIM | DomainKeys Identified Mail (DKIM)  Cryptographic authentication mechanism for mail utilizing a public key published as a DNS record.

DB-9 | D-subminiature shell connector (DB-9)  Legacy connector form factor used for serial (9-pin) and VGA (15-pin) interfaces.

DIMM | dual inline memory module (DIMM)  Standard form factor for system memory. There are different pin configurations for different DDR-SDRAM RAM types. 

dual-channel | System-memory controller configuration that provides two data pathways between the memory modules and a compatible CPU.

duplex unit | Installable option that enables a print device or scanner to use both sides of a page automatically.

DFS | dynamic frequency selection (DFS)  Regulatory feature of wireless access points that prevents use of certain 5 GHz channels when in range of a facility that uses radar.

DHCP | dynamic host configuration protocol (DHCP)  Protocol used to automatically assign IP addressing information to hosts that have not been configured manually.

EIRP | effective isotropic radiated power (EIRP)  Signal strength from a transmitter, measured as the sum of transmit power, antenna cable/connector loss, and antenna gain.

elasticity | Property by which a computing environment can add or remove resources in response to increasing and decreasing demands in workload. 

ESD | electrostatic discharge (ESD)  Metal and plastic surfaces can allow a charge to build up. This can discharge if a potential difference is formed between the charged object and an oppositely charged conductive object. This electrical discharge can damage silicon chips and computer components if they are exposed to it.

email | Electronic store and forward messaging system. Email supports text messages and binary file attachments. For Internet email, an SMTP (Simple Mail Transfer Protocol) server is used to forward mail to a host. A mail client then uses either POP3 (Post Office Protocol) or IMAP (Internet Mail Access Protocol) to access the mailbox on the server and download messages.

embedded system | Electronic system that is designed to perform a specific, dedicated function, such as a microcontroller in a medical drip or components in a control system managing a water treatment plant.

enclosure | Chassis for connecting an internal disk unit as an external peripheral device.

EOL | end of life (EOL)  Product life cycle phase where mainstream vendor support is no longer available.

